TEMPERATURE , SOC        
         49 , 98         
         81 , 38         
        -94 , 24         
        -59 , 35         
        -65 , 77         
        -77 , 1          
        -53 , 13         
         23 , 2          
         32 , 93         
         10 , 90         
         86 , 96         
         61 , 36         
         28 , 57         
         81 , 96         
        -90 , 98         
         86 , 27         
        -69 , 21         
         40 , 98         
         61 , 38         
        -36 , 63         
        -79 , 78         
        -67 , 95         
          0 , 66         
        -77 , 76         
        -79 , 66         
         96 , 96         
         36 , 76         
          9 , 94         

          3 , 97         
        -96 , 40         
         35 , 23         
         -3 , 100        
        -18 , 50         
        -77 , 96         
        -71 , 89         
         65 , 58         
        -29 , 32         
         13 , 61         
        -70 , 36         
         47 , 24         
         -5 , 39         
        -60 , 91         
        -19 , 22         
        -38 , 81         
         77 , 59         
        -37 , 24         
         75 , 60         
          0 , 9          
         77 , 20         
         29 , 3          
TEMPERATURE , SOC        
         28 , 6          
        -14 , 70         
         65 , 10         
         95 , 89         
        -72 , 5          
        -78 , 49         
         26 , 86         
        -15 , 6          
        -60 , 87         
        -63 , 3          
        -56 , 14         
         -8 , 61         
        -21 , 36         
         53 , 100        
         82 , 8          
          6 , 69         
         13 , 67         
         79 , 46         
         24 , 40         
         -4 , 19         
        -29 , 96         
         79 , 53         
        -25 , 83         
        -98 , 23         
          4 , 15         
        -45 , 55         
        -98 , 96         
        -87 , 70         
        -24 , 96         
         92 , 51         
         -3 , 16         
         36 , 27         
        -20 , 90         
         48 , 56         
         56 , 42         
        -70 , 23         
        -37 , 4          
         61 , 41         
          8 , 81         
        -72 , 7          
        -16 , 78         
        -99 , 46         
        -87 , 35         
        -81 , 35         
        -12 , 28         
         76 , 37         
        -57 , 88         
        -97 , 84         
        -53 , 70         
         58 , 21         
TEMPERATURE , SOC        
        -23 , 74         
          0 , 5          
          0 , 43         
         -7 , 89         
        -45 , 15         
          9 , 18         
         73 , 66         
        -48 , 60         
         99 , 98         
         30 , 74         
         61 , 79         
         -4 , 21         
        -34 , 69         
         69 , 49         
         63 , 44         
         98 , 86         
         14 , 90         
        -93 , 53         
        -46 , 62         
        -52 , 88         
         39 , 6          
         32 , 32         
         50 , 79         
        -44 , 14         
        -67 , 76         
        -30 , 80         
        -53 , 3          
        -96 , 30         
        -98 , 81         
         95 , 55         
         98 , 43         
          6 , 100        
         46 , 19         
        -47 , 65         
        -45 , 7          
        -11 , 95         
        -95 , 16         
         23 , 39         
         32 , 71         
         78 , 13         
        -48 , 28         
         10 , 79         
         65 , 94         
         13 , 100        
         32 , 41         
        -40 , 22         
        -25 , 30         
        -88 , 63         
        -67 , 98         
        -41 , 44         
TEMPERATURE , SOC        
        -95 , 68         
        -81 , 34         
        -43 , 90         
        -83 , 19         
        -17 , 1          
         97 , 50         
        -93 , 80         
         68 , 30         
         67 , 79         
         23 , 13         
          3 , 9          
        -43 , 49         
         79 , 5          
        -42 , 89         
         23 , 70         
         23 , 41         
         74 , 16         
         74 , 16         
         40 , 25         
         24 , 4          
         81 , 57         
         63 , 71         
        -54 , 47         
         -4 , 60         
        -12 , 20         
          7 , 61         
        -78 , 51         
        -75 , 35         
         51 , 74         
        -40 , 56         
        -85 , 45         
        -59 , 49         
         23 , 11         
        -52 , 91         
         29 , 39         
         29 , 49         
         58 , 84         
        -35 , 76         
         56 , 40         
        100 , 90         
        -18 , 1          
        -95 , 47         
         17 , 70         
         51 , 29         
         58 , 83         
        -87 , 33         
         50 , 55         
        -48 , 6          
        -85 , 72         
         51 , 46         
TEMPERATURE , SOC        
         19 , 40         
        -30 , 62         
         11 , 81         
         89 , 75         
        -94 , 85         
         30 , 71         
         69 , 19         
        -16 , 81         
         90 , 41         
        -43 , 88         
        -37 , 28         
        -47 , 2          
        -13 , 46         
         26 , 41         
        -43 , 62         
         -8 , 10         
        -17 , 12         
         56 , 71         
         53 , 0          
         86 , 21         
         -7 , 55         
        -57 , 49         
        -90 , 1          
        -60 , 15         
         50 , 75         
         80 , 100        
         54 , 18         
        -79 , 63         
         73 , 97         
        -90 , 17         
        -36 , 26         
         25 , 63         
        -55 , 57         
        -48 , 61         
         28 , 94         
        -73 , 25         
        -94 , 93         
         81 , 32         
         34 , 74         
         35 , 1          
         59 , 14         
         67 , 63         
        -63 , 30         
         11 , 87         
        -27 , 29         
          3 , 96         
         -6 , 98         
        -80 , 61         
        -25 , 19         
         31 , 13         
TEMPERATURE , SOC        
         94 , 92         
         88 , 10         
        -59 , 88         
        -35 , 100        
          8 , 75         
         17 , 37         
        -53 , 19         
         79 , 71         
        -20 , 14         
        -37 , 93         
        -40 , 53         
        -75 , 21         
